p-number,location,unit,name,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
10307515,Nad Al Shiba First,111-,,,,,,,,,,,,,,2787.02,6187255,Meydan,,Public Facilities
10307517,Nad Al Shiba First,112-,,,,,,,,,,,,,,1393.51,6189055,Meydan,,Public Facilities
10307519,Nad Al Shiba First,113-,,,,,,,,,,,,,,1393.51,6189119,Meydan,,Public Facilities
174201057,Nad Al Shiba First,1136-,,,,,,,,,,,,,,2787.08,6184160,Meydan,,
10307521,Nad Al Shiba First,114-,,,,,,,,,,,,,,1393.51,6189118,Meydan,,Public Facilities
10307523,Nad Al Shiba First,115-,,,,,,,,,,,,,,1393.51,6189124,Meydan,,Public Facilities
10307525,Nad Al Shiba First,116-,,,,,,,,,,,,,,1393.52,6189022,Meydan,,Public Facilities
10307527,Nad Al Shiba First,117-,,,,,,,,,,,,,,1393.52,6184123,Meydan,,Public Facilities
10307529,Nad Al Shiba First,118-,,,,,,,,,,,,,,1393.52,6189019,Meydan,,Public Facilities
10307531,Nad Al Shiba First,119-,,,,,,,,,,,,,,2787.08,6187552,Meydan,,Public Facilities
10307533,Nad Al Shiba First,120-,,,,,,,,,,,,,,1393.52,6188964,Meydan,PLATINUM RESIDENCE,Public Facilities
10307535,Nad Al Shiba First,121-,,,,,,,,,,,,,,8361.2,6183898,Meydan,,Public Facilities
10307537,Nad Al Shiba First,122-,,,,,,,,,,,,,,1393.52,6189105,Meydan,,Public Facilities
10307539,Nad Al Shiba First,123-,,,,,,,,,,,,,,5574.13,6184158,Meydan,Prime Views,Public Facilities
10307541,Nad Al Shiba First,124-,,,,,,,,,,,,,,1393.53,6189090,Meydan,,Public Facilities
10307543,Nad Al Shiba First,125-,,,,,,,,,,,,,,1393.53,6189103,Meydan,,Public Facilities
10307545,Nad Al Shiba First,126-,,,,,,,,,,,,,,1393.53,6189099,Meydan,,Public Facilities
10307547,Nad Al Shiba First,127-,,,,,,,,,,,,,,1393.53,6184165,Meydan,,Public Facilities
10307549,Nad Al Shiba First,128-,,,,,,,,,,,,,,1393.53,6189092,Meydan,,Public Facilities
10307551,Nad Al Shiba First,129-,,,,,,,,,,,,,,1393.53,6189051,Meydan,,Public Facilities
10307554,Nad Al Shiba First,130-,,,,,,,,,,,,,,1393.53,6189152,Meydan,,Public Facilities
