p-number,location,unit,name,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
139735310,Madinat Al Mataar,493-,Parklane Residence 4,,218,6.15,1,0.1,2,1 B/R,,,,,,61.71,,Dubai World Central,Parklane Residence,Government Authorities
139723290,Madinat Al Mataar,493-,Parklane Residence 3,,708,12.11,1,0.16,7,2 B/R,,,,,,101.63,,Dubai World Central,Parklane Residence,Government Authorities
139723384,Madinat Al Mataar,493-,Parklane Residence 3,,709,5.85,1,0.15,7,2 B/R,,,,,,97.34,,Dubai World Central,Parklane Residence,Government Authorities
139723478,Madinat Al Mataar,493-,Parklane Residence 3,,710,6.15,1,0.1,7,1 B/R,,,,,,62.13,,Dubai World Central,Parklane Residence,Government Authorities
139723572,Madinat Al Mataar,493-,Parklane Residence 3,,711,6.15,1,0.1,7,1 B/R,,,,,,61.93,,Dubai World Central,Parklane Residence,Government Authorities
139723666,Madinat Al Mataar,493-,Parklane Residence 3,,712,7.28,1,0.1,7,1 B/R,,,,,,62.7,,Dubai World Central,Parklane Residence,Government Authorities
139723760,Madinat Al Mataar,493-,Parklane Residence 3,,713,3.39,1,0.05,7,Studio,,,,,,34.71,,Dubai World Central,Parklane Residence,Government Authorities
139723854,Madinat Al Mataar,493-,Parklane Residence 3,,714,3.35,1,0.06,7,Studio,,,,,,35.84,,Dubai World Central,Parklane Residence,Government Authorities
139736062,Madinat Al Mataar,493-,Parklane Residence 4,,307,12.11,1,0.16,3,2 B/R,,,,,,101.63,,Dubai World Central,Parklane Residence,Government Authorities
139736156,Madinat Al Mataar,493-,Parklane Residence 4,,308,12.11,1,0.16,3,2 B/R,,,,,,101.63,,Dubai World Central,Parklane Residence,Government Authorities
139736250,Madinat Al Mataar,493-,Parklane Residence 4,,309,3.11,1,0.05,3,Studio,,,,,,34.06,,Dubai World Central,Parklane Residence,Government Authorities
139736344,Madinat Al Mataar,493-,Parklane Residence 4,,310,3.39,1,0.05,3,Studio,,,,,,35.08,,Dubai World Central,Parklane Residence,Government Authorities
139736438,Madinat Al Mataar,493-,Parklane Residence 4,,311,7.35,1,0.1,3,1 B/R,,,,,,62.96,,Dubai World Central,Parklane Residence,Government Authorities
139736532,Madinat Al Mataar,493-,Parklane Residence 4,,312,6.15,1,0.1,3,1 B/R,,,,,,61.55,,Dubai World Central,Parklane Residence,Government Authorities
139736626,Madinat Al Mataar,493-,Parklane Residence 4,,313,6.15,1,0.1,3,1 B/R,,,,,,62.01,,Dubai World Central,Parklane Residence,Government Authorities
139736720,Madinat Al Mataar,493-,Parklane Residence 4,,314,7.4,1,0.1,3,1 B/R,,,,,,63.02,,Dubai World Central,Parklane Residence,Government Authorities
139736814,Madinat Al Mataar,493-,Parklane Residence 4,,315,3.35,1,0.06,3,Studio,,,,,,35.84,,Dubai World Central,Parklane Residence,Government Authorities
139736908,Madinat Al Mataar,493-,Parklane Residence 4,,316,6.0,1,0.15,3,2 B/R,,,,,,98.02,,Dubai World Central,Parklane Residence,Government Authorities
139737002,Madinat Al Mataar,493-,Parklane Residence 4,,317,6.15,1,0.1,3,1 B/R,,,,,,62.2,,Dubai World Central,Parklane Residence,Government Authorities
139737096,Madinat Al Mataar,493-,Parklane Residence 4,,318,6.15,1,0.1,3,1 B/R,,,,,,61.71,,Dubai World Central,Parklane Residence,Government Authorities
139737190,Madinat Al Mataar,493-,Parklane Residence 4,,319,3.39,1,0.05,3,Studio,,,,,,33.69,,Dubai World Central,Parklane Residence,Government Authorities
139737284,Madinat Al Mataar,493-,Parklane Residence 4,,401,6.08,1,0.15,4,2 B/R,,,,,,97.17,,Dubai World Central,Parklane Residence,Government Authorities
139737378,Madinat Al Mataar,493-,Parklane Residence 4,,402,6.0,1,0.15,4,2 B/R,,,,,,94.97,,Dubai World Central,Parklane Residence,Government Authorities
139737472,Madinat Al Mataar,493-,Parklane Residence 4,,403,6.0,1,0.15,4,2 B/R,,,,,,95.35,,Dubai World Central,Parklane Residence,Government Authorities
139737566,Madinat Al Mataar,493-,Parklane Residence 4,,404,5.85,2,0.21,4,3 B/R,,,,,,134.54,,Dubai World Central,Parklane Residence,Government Authorities
139737660,Madinat Al Mataar,493-,Parklane Residence 4,,405,6.15,1,0.1,4,1 B/R,,,,,,62.96,,Dubai World Central,Parklane Residence,Government Authorities
139737754,Madinat Al Mataar,493-,Parklane Residence 4,,406,6.15,1,0.1,4,1 B/R,,,,,,62.5,,Dubai World Central,Parklane Residence,Government Authorities
139737848,Madinat Al Mataar,493-,Parklane Residence 4,,407,12.11,1,0.16,4,2 B/R,,,,,,101.63,,Dubai World Central,Parklane Residence,Government Authorities
139737942,Madinat Al Mataar,493-,Parklane Residence 4,,408,12.11,1,0.16,4,2 B/R,,,,,,101.63,,Dubai World Central,Parklane Residence,Government Authorities
139738036,Madinat Al Mataar,493-,Parklane Residence 4,,409,3.11,1,0.05,4,Studio,,,,,,34.06,,Dubai World Central,Parklane Residence,Government Authorities
139738130,Madinat Al Mataar,493-,Parklane Residence 4,,410,3.39,1,0.05,4,Studio,,,,,,35.08,,Dubai World Central,Parklane Residence,Government Authorities
139738224,Madinat Al Mataar,493-,Parklane Residence 4,,411,7.35,1,0.1,4,1 B/R,,,,,,62.96,,Dubai World Central,Parklane Residence,Government Authorities
139738318,Madinat Al Mataar,493-,Parklane Residence 4,,412,6.15,1,0.1,4,1 B/R,,,,,,61.55,,Dubai World Central,Parklane Residence,Government Authorities
139738412,Madinat Al Mataar,493-,Parklane Residence 4,,413,6.15,1,0.1,4,1 B/R,,,,,,62.01,,Dubai World Central,Parklane Residence,Government Authorities
139738506,Madinat Al Mataar,493-,Parklane Residence 4,,414,7.4,1,0.1,4,1 B/R,,,,,,63.02,,Dubai World Central,Parklane Residence,Government Authorities
139738600,Madinat Al Mataar,493-,Parklane Residence 4,,415,3.35,1,0.06,4,Studio,,,,,,35.84,,Dubai World Central,Parklane Residence,Government Authorities
